dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds005508	participant_id	string	The prticipant ID set in the HBN dataset	324	0			False			nb:ParticipantID												
ds005508	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005508	RestingState	string	Availability status of the resting state task	2	0			True															
ds005508	seqLearning6target	string		2	0			True															
ds005508	seqLearning8target	string		2	0			True															
ds005508	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005508	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005508	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	3	0			True															
ds005508	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005508	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005509	age	Float64	Age in years	326	0			False	5.1735	20.8778	nb:Age											nb:FromFloat	
ds005509	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	301	7			False	-2.37	2.331		nb:Assessment	311474001	Attention process training test	Attentional capacity test	high	incorrect	Vague	Arman				
ds005509	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005509	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005509	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005509	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005509	DespicableMe	string	Availability status of watching the Despicable Me	2	0			True															
ds005509	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005509	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	78	1			False	-100.05	100.05		nb:Assessment	271459000	Edinburgh Handedness Questionnaire	not found	high	incorrect	Right label, but no term available	Alyssa				
ds005509	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	302	7			False	-1.6780000000000002	2.323		nb:Assessment	311474001	Attention process training test	Attentional capacity test	medium	incorrect	Wrong assessment guess	Arman				
ds005509	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005509	FunwithFractals	string	Availability status of watching the Fun with Fractals	3	0			True															
ds005509	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	308	7			False	-1.96	2.447		nb:Assessment	273362008	Child depression scale	Child depression scale	high	incorrect	Wrong assessment guess	Arman				
ds005509	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	303	7			False	-1.909	2.296		nb:Assessment	273740006	Receptive expressive emergent language scale	Recognition memory test	medium	incorrect	Wrong assessment guess	Arman				
ds005509	participant_id	string	The prticipant ID set in the HBN dataset	330	0			False			nb:ParticipantID												
ds005509	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005509	RestingState	string	Availability status of the resting state task	2	0			True															
ds005509	seqLearning6target	string		2	0			True															
ds005509	seqLearning8target	string		3	0			True															
ds005509	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005509	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005509	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	3	0			True															
ds005509	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005509	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005510	age	Float64	Age in years	134	0			False	5.1126	21.0009	nb:Age											nb:FromFloat	
ds005510	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	127	4			False	-1.854	1.594		nb:Assessment	311481000000101	Rating scale of attentional behavior	not found	high	incorrect		Arman				
ds005510	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005510	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	2	0			True															
ds005510	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005510	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005510	DespicableMe	string	Availability status of watching the Despicable Me	2	0			True															
ds005510	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	2	0			True															
ds005510	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	59	2			False	-100.05	100.05		nb:Assessment	1287376009	Edinburgh Handedness Questionnaire	Minnesota Living with Heart Failure Questionnaire	high	incorrect	Right label, but no term available	Alyssa				
ds005510	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	128	4			False	-1.464	1.864		nb:Assessment	273374007	Cognitive failures questionnaire	Cognitions questionnaire	medium	incorrect	Wrong assessment guess	Arman				
ds005510	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005510	FunwithFractals	string	Availability status of watching the Fun with Fractals	2	0			True															
ds005510	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	128	4			False	-1.554	2.369		nb:Assessment	980351000000105	Hamilton rating scale for depression	Young Townson FootSkin Scale for Diabetic Neuropathy	high	incorrect	Wrong assessment	Arman				
ds005510	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	129	4			False	-1.909	2.635		nb:Assessment	270993002	Behavioral rating scale	not found	medium	incorrect	Wrong assessment	Arman				
ds005510	participant_id	string	The prticipant ID set in the HBN dataset	135	0			False			nb:ParticipantID												
ds005510	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005510	RestingState	string	Availability status of the resting state task	2	0			True															
ds005510	seqLearning6target	string		2	0			True															
ds005510	seqLearning8target	string		2	0			True															
ds005510	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005510	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005510	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	2	0			True															
ds005510	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005510	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005511	age	Float64	Age in years	378	0			False	5.2228	21.899	nb:Age											nb:FromFloat	
ds005511	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	363	2			False	-2.371	2.036		nb:Assessment	311888005	MARS - Moss Attention Rating Scale	not found	medium	incorrect	Wrong assessment guess. I've been making the assumption that this description refers to 311404002 in snomedCT	Arman				
ds005511	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005511	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005511	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005511	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005511	DespicableMe	string	Availability status of watching the Despicable Me	3	0			True															
ds005511	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005511	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	111	2			False	-100.05	100.05		nb:Assessment	273243008	Edinburgh Handedness Questionnaire	not found	low	incorrect	Right label, but no term available	Alyssa				
ds005511	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	360	2			False	-2.123	2.527		nb:Assessment	273310006	Behavior and mood disturbance scale	Behavior and mood disturbance scale	medium	incorrect	Not sure if the term matches the column	Arman				
ds005511	full_pheno	string	Does the participant have a full phenotypic file?	2	0			True															
ds005511	FunwithFractals	string	Availability status of watching the Fun with Fractals	3	0			True															
ds005511	internalizing	Float64	An indicator of inwardly directed psychological symptoms, typically involving mood and anxiety disorders.	348	2			False	-1.867	3.1710000000000003		nb:Assessment	273306008	Behavior Assessment Battery	Beck depression inventory	medium	incorrect	Wrong assessment guess. Unsure if the label which doesn't match the guessed ID is correct for the column	Arman				
ds005511	p_factor	Float64	Single latent score indicatve of comorbid features of psychiatric disorders	362	2			False	-1.909	2.443		nb:Assessment	273744002	Palliative Care Problem Severity Score	Renfrew articulation test	medium	incorrect	Wrong assessment guess	Arman				
ds005511	participant_id	string	The prticipant ID set in the HBN dataset	381	0			False			nb:ParticipantID												
ds005511	release_number	string	The release in which the dataset was made available via the HBN project	1	0			True															
ds005511	RestingState	string	Availability status of the resting state task	2	0			True															
ds005511	seqLearning6target	string		2	0			True															
ds005511	seqLearning8target	string		2	0			True															
ds005511	sex	string	Gender	2	0	F, M		True			nb:Sex												
ds005511	surroundSupp_1	string	Availability status of the 1st run of the surround suppression task	3	0			True															
ds005511	surroundSupp_2	string	Availability status of the 2nd run of the surround suppression task	3	0			True															
ds005511	symbolSearch	string	Availability status of the symbol search task	3	0			True															
ds005511	ThePresent	string	Availability status of watching the The Present	3	0			True															
ds005512	age	Float64	Age in years	254	0			False	5.0552	21.8196	nb:Age											nb:FromFloat	
ds005512	attention	Float64	Focuses on attentional capacities or deficits, crucial in conditions like ADHD, affecting focus and concentration.	242	0			False	-2.451	2.2030000000000003		nb:Assessment	311474001	Attention process training test	Attentional capacity test	medium	incorrect	Wrong assessment guess. I've been making the assumption that this description refers to 311404002 in snomedCT	Arman				
ds005512	commercial_use	string	Did the participant consent to commercial use of data?	1	0	Yes, No		True															
ds005512	contrastChangeDetection_1	string	Availability status of the 1st run of the contrast change task	3	0			True															
ds005512	contrastChangeDetection_2	string	Availability status of the 2nd run of the contrast change task	3	0			True															
ds005512	contrastChangeDetection_3	string	Availability status of the 3rd run of the contrast change task	3	0			True															
ds005512	DespicableMe	string	Availability status of watching the Despicable Me	3	0			True															
ds005512	DiaryOfAWimpyKid	string	Availability status of watching the Diary Of A Wimpy Kid	3	0			True															
ds005512	ehq_total	Float64	Edinburgh Handedness Questionnaire, +100=Fully Right-handed, -100=Fully Left-handed	71	2			False	-100.0	100.05		nb:Assessment	1231452006	Standardised Assessment of Personality - Abbreviated Scale	Standardised Assessment of Personality - Abbreviated Scale	medium	incorrect	Wrong assessment guess	Arman				
ds005512	externalizing	Float64	Encompasses outwardly directed behavioral problems, often seen in disorders like ADHD and conduct disorder.	244	0			False	-2.012	2.214		nb:Assessment	273312003	Behavior problem checklist	Behavior problem checklist	medium	incorrect	Wrong assessment guess	Arman				
